Organization legal name or 'doing business as' name,Group PAC ID,State,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Footnote,Reporting Mechanism,Reported on PC Live Site
SPRING HILL PHYSICAL THERAPY PC,9638337496,CA,,PQRS_GRP_154_1,Falls: Risk Assessment,N,92,,REG,Y
SPRING HILL PHYSICAL THERAPY PC,9638337496,CA,,PQRS_GRP_155_1,Falls: Plan of Care,N,88,,REG,Y
SPRING HILL PHYSICAL THERAPY PC,9638337496,CA,,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,57,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,77,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,66,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,51,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,46,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,70,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,64,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,96,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,72,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,89,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,92,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,50,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,98,,WI,Y
SCL HEALTH MEDICAL GROUP - BILLINGS LLC,9638491574,MT,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,76,,WI,Y
MIDWEST RADIOLOGY AND IMAGING PC,9739070178,IA,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,94,,REG,Y
OHIO STATE UNIVERSITY,9739070244,OH,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,88,,REG,Y
ROCKY MOUNT FAMILY MEDICAL CENTER PA,9739070392,NC,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,96,,REG,Y
ROCKY MOUNT FAMILY MEDICAL CENTER PA,9739070392,NC,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,58,,REG,Y
"SM MEDICAL SERVICES, LLC",9739080342,KS,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,33,,REG,Y
"SM MEDICAL SERVICES, LLC",9739080342,KS,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,8,,REG,N
"SM MEDICAL SERVICES, LLC",9739080342,KS,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,2,,REG,Y
"SM MEDICAL SERVICES, LLC",9739080342,KS,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,8,,REG,Y
"SM MEDICAL SERVICES, LLC",9739080342,KS,Y,PQRS_GRP_48_1,Urinary Incontinence: Assessment of Presence or Absence of Urinary Incontinence in Women Aged 65 Years and Older,N,1,,REG,Y
MEMORIAL HEALTH SYSTEMS INC,9739081142,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,64,,REG,Y
MEMORIAL HEALTH SYSTEMS INC,9739081142,FL,Y,PQRS_GRP_47_1,Care Plan,N,61,,REG,Y
DECATUR COUNTY HOSPITAL,9739085754,IA,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,0,,REG,Y
DECATUR COUNTY HOSPITAL,9739085754,IA,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,6,,REG,Y
DECATUR COUNTY HOSPITAL,9739085754,IA,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,3,,REG,Y
DECATUR COUNTY HOSPITAL,9739085754,IA,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,11,,REG,Y
DECATUR COUNTY HOSPITAL,9739085754,IA,Y,PQRS_GRP_51_1,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N,37,,REG,Y
DECATUR COUNTY HOSPITAL,9739085754,IA,Y,PQRS_GRP_54_1,Emergency Medicine: 12-Lead Electrocardiogram (ECG) Performed for Non-Traumatic Chest Pain,N,81,,REG,Y
BLUESTONE PHYSICIAN SERVICES FL LLC,9739086257,FL,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,87,,REG,Y
BLUESTONE PHYSICIAN SERVICES FL LLC,9739086257,FL,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,91,,REG,Y
BLUESTONE PHYSICIAN SERVICES FL LLC,9739086257,FL,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,99,,REG,Y
BLUESTONE PHYSICIAN SERVICES FL LLC,9739086257,FL,Y,PQRS_GRP_47_1,Care Plan,N,76,,REG,Y
UNIVERSITY OF MIAMI DERMATOLOGY AND CUTANEOUS SURGERY,9739087156,FL,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,88,,REG,Y
UNIVERSITY OF MIAMI DERMATOLOGY AND CUTANEOUS SURGERY,9739087156,FL,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,95,,REG,Y
UNIVERSITY OF MIAMI DERMATOLOGY AND CUTANEOUS SURGERY,9739087156,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,91,,REG,Y
UNIVERSITY OF MIAMI DERMATOLOGY AND CUTANEOUS SURGERY,9739087156,FL,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,87,,REG,Y
UNIVERSITY OF MIAMI DERMATOLOGY AND CUTANEOUS SURGERY,9739087156,FL,Y,PQRS_GRP_41_1,Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N,72,,REG,Y
AMERICAN FAMILY CARE INC,9739087818,AL,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,100,,REG,N
AMERICAN FAMILY CARE INC,9739087818,AL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,45,,REG,Y
AMERICAN FAMILY CARE INC,9739087818,AL,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,0,,REG,N
AMERICAN FAMILY CARE INC,9739087818,AL,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
AMERICAN FAMILY CARE INC,9739087818,AL,Y,PQRS_GRP_331_1,Adult Sinusitis: Antibiotic Prescribed for Acute Sinusitis (Appropriate Use)*,Y,0,,REG,Y
AMERICAN FAMILY CARE INC,9739087818,AL,Y,PQRS_GRP_334_1,Adult Sinusitis: More than One Computerized Tomography (CT) Scan Within 90 Days for Chronic Sinusitis (Overuse),Y,0,,REG,N
AMERICAN FAMILY CARE INC,9739087818,AL,Y,PQRS_GRP_93_1,Acute Otitis Externa (AOE): Systemic Antimicrobial Therapy  Avoidance of Inappropriate Use,N,100,,REG,Y
"CENTERSTONE OF TENNESSEE, INC",9739088113,TN,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,59,,REG,Y
"CENTERSTONE OF TENNESSEE, INC",9739088113,TN,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,20,,REG,N
"CENTERSTONE OF TENNESSEE, INC",9739088113,TN,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,1,,REG,Y
"CENTERSTONE OF TENNESSEE, INC",9739088113,TN,Y,PQRS_GRP_391_1,Follow-up After Hospitalization for Mental Illness (FUH),N,99,,REG,Y
"CENTERSTONE OF TENNESSEE, INC",9739088113,TN,Y,PQRS_GRP_391_2,Follow-up After Hospitalization for Mental Illness (FUH),N,41,,REG,Y
"CENTERSTONE OF TENNESSEE, INC",9739088113,TN,Y,PQRS_GRP_47_1,Care Plan,N,2,,REG,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,79,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,68,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,64,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,73,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,10,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,70,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,69,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,94,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,0,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,86,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,96,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,34,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,89,,WI,Y
THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,9739089319,IN,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,68,,WI,Y
PEACEHEALTH SOUTHWEST MEDICAL CENTER,9739092065,WA,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,70,,REG,Y
PEACEHEALTH SOUTHWEST MEDICAL CENTER,9739092065,WA,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,29,,REG,Y
PEACEHEALTH SOUTHWEST MEDICAL CENTER,9739092065,WA,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,29,,REG,N
PEACEHEALTH SOUTHWEST MEDICAL CENTER,9739092065,WA,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,9,,REG,Y
PEACEHEALTH SOUTHWEST MEDICAL CENTER,9739092065,WA,Y,PQRS_GRP_51_1,Chronic Obstructive Pulmonary Disease (COPD): Spirometry Evaluation,N,14,,REG,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,70,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,78,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,72,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,54,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,43,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,83,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,71,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,94,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,61,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,80,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,76,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,43,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,75,,WI,Y
"ST. LUKE'S WARREN PHYSICIAN GROUP, PC",9739093675,NJ,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,94,,WI,Y
CAROLINAS MEDICAL ALLIANCE INC,9739096769,SC,Y,PQRS_GRP_116_1,Antibiotic Treatment for Adults with Acute Bronchitis: Avoidance of Inappropriate Use,N,31,,REG,N
CAROLINAS MEDICAL ALLIANCE INC,9739096769,SC,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,74,,REG,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,75,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,86,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,81,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,72,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,53,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,71,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,51,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,91,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,54,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,88,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,99,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,64,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,83,,WI,Y
CHRISTIANA CARE HEALTH SERVICES INC,9739097569,DE,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,77,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,99,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,75,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,80,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,70,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,97,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,93,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,73,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,94,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,38,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,99,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,91,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,70,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,96,,WI,Y
SANFORD BISMARCK,9739098575,ND,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,100,,WI,Y
KADLEC REGIONAL MEDICAL CENTER,9739098617,WA,Y,PQRS_GRP_47_1,Care Plan,N,63,,REG,Y
INTERNAL MEDICINE AND PEDIATRICS WELLNESS CENTER,9739103920,FL,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,63,,REG,Y
INTERNAL MEDICINE AND PEDIATRICS WELLNESS CENTER,9739103920,FL,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,25,,REG,N
INTERNAL MEDICINE AND PEDIATRICS WELLNESS CENTER,9739103920,FL,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,11,,REG,Y
"THE RECOVERY PROJECT, LLC",9739154311,MI,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,97,,REG,Y
"THE RECOVERY PROJECT, LLC",9739154311,MI,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,92,,REG,Y
"THE RECOVERY PROJECT, LLC",9739154311,MI,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,97,,REG,Y
"THE RECOVERY PROJECT, LLC",9739154311,MI,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,78,,REG,Y
"THE RECOVERY PROJECT, LLC",9739154311,MI,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
"SOUTH SHORE SKIN CENTER, LLC",9739164328,MA,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,98,,REG,Y
"SOUTH SHORE SKIN CENTER, LLC",9739164328,MA,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,99,,REG,Y
"SOUTH SHORE SKIN CENTER, LLC",9739164328,MA,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
"SOUTH SHORE SKIN CENTER, LLC",9739164328,MA,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,1,,REG,N
"SOUTH SHORE SKIN CENTER, LLC",9739164328,MA,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
"SOUTH SHORE SKIN CENTER, LLC",9739164328,MA,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,84,,REG,Y
"SOUTH SHORE SKIN CENTER, LLC",9739164328,MA,Y,PQRS_GRP_47_1,Care Plan,N,99,,REG,Y
ADAM S PLOTKIN MD PA,9739166208,FL,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
ADAM S PLOTKIN MD PA,9739166208,FL,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,100,,REG,Y
ADAM S PLOTKIN MD PA,9739166208,FL,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,48,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,33,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,39,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,92,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,,1,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,,1,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,61,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,96,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,8,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,,1,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,90,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,51,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,51,,WI,Y
AUSTIN GASTROENTEROLOGY PA,9739174954,TX,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,,1,WI,Y
"HARDIN PROFESSIONAL SERVICES, LLC",9739191628,KY,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,55,,REG,Y
"HARDIN PROFESSIONAL SERVICES, LLC",9739191628,KY,Y,PQRS_GRP_7_2,Coronary Artery Disease (CAD): Beta-Blocker Therapy  Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,59,,REG,Y
PROVIDENCE HEALTH AND SERVICES - WA,9739249350,WA,Y,PQRS_GRP_47_1,Care Plan,N,45,,REG,Y
PINNACLE HEALTH HOSPITALIST SERVICES LLC,9739313545,PA,Y,PQRS_GRP_47_1,Care Plan,N,56,,REG,Y
MEL KAPLAN MD PC,9739358763,NY,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,11,,REG,N
MEL KAPLAN MD PC,9739358763,NY,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,1,,REG,Y
UNIVERSITY OF UTAH COMMUNITY PHYSICIANS GROUP,9739403569,UT,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,41,,REG,Y
UNIVERSITY OF UTAH COMMUNITY PHYSICIANS GROUP,9739403569,UT,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,25,,REG,Y
